neighborhood,borough,number_of_posts,number_of_illegal_posts,percent_illegal,proportion_of_posts,proportion_of_illegal_posts
Upper West Side,Manhattan,1790,1357,0.7581005586592179,0.013804698224669535,0.010465349436243889
Upper East Side,Manhattan,1512,1131,0.748015873015873,0.011538901820124394,0.008631281718624794
East Brooklyn,Brooklyn,130,52,0.4,0.0020964360587002098,0.0008385744234800838
Washington Heights,Manhattan,926,526,0.5680345572354212,0.01529390390935967,0.008687465935554197
Astoria-Long Island City,Queens,1107,622,0.5618789521228545,0.013626124739971197,0.00765623269039032
Williamsburg,Brooklyn,4141,2456,0.5930934556870321,0.04669493245528969,0.027694458852980313
Bedford-Stuyvesant,Brooklyn,3231,1693,0.5239863819251006,0.026295657269353474,0.013778566312910996
Flatbush,Brooklyn,0,0,,,
Jamaica,Queens,76,22,0.2894736842105263,0.001559166256359757,0.00045133760052519284
Harlem,Manhattan,1549,904,0.5836023240800516,0.023241856347622547,0.01356400138040722
Williams Bridge,Bronx,20,12,0.6,0.0005329212075994564,0.00031975272455967384
East Harlem,Manhattan,445,272,0.6112359550561798,0.01820338705718727,0.011126564673157162
Bushwick,Brooklyn,1801,816,0.45308162132148805,200.11111111111111,90.66666666666667
Corona,Queens,1,1,1.0,,
Sunset Park,Brooklyn,204,102,0.5,0.007224307670514909,0.0036121538352574547
Borough Park,Brooklyn,442,231,0.5226244343891403,0.005926680790581673,0.0030974281959827293
Bensonhurst,Brooklyn,63,36,0.5714285714285714,0.0015468473777253977,0.0008839127872716559
Soundview,Bronx,33,12,0.36363636363636365,0.0007348520275235487,0.00026721891909947226
Lower East Side,Manhattan,1370,983,0.7175182481751825,0.034251712585629285,0.024576228811440573
Canarsie,Brooklyn,96,27,0.28125,0.0017608217168011738,0.0004952311078503302
South Bronx,Bronx,71,28,0.39436619718309857,0.000891567777987066,0.0003516041941357443
Flushing,Queens,145,54,0.3724137931034483,0.004263075882750713,0.001587628259783024
Gravesend-Sheepshead Bay,Brooklyn,214,100,0.4672897196261682,0.0018820963387069822,0.0008794842704238235
Forest Hills,Queens,186,87,0.46774193548387094,0.0033865593649290825,0.001584035831982958
East Village,Manhattan,1802,1304,0.7236403995560489,0.04825019412536482,0.03491578975553592
Ridgewood,Queens,298,136,0.4563758389261745,0.010397404138027285,0.00474512403614668
Jackson Heights,Queens,307,105,0.34201954397394135,0.0030967872093609723,0.0010591617491299743
Mapleton-Flatlands,Brooklyn,611,287,0.469721767594108,0.005861304835816314,0.002753182467887532
Queens Village,Queens,32,6,0.1875,0.0008174108511290487,0.00015326453458669665
Park Slope,Brooklyn,853,539,0.6318874560375146,0.02356353591160221,0.014889502762430938
Gramercy,Manhattan,975,742,0.7610256410256411,0.017321016166281754,0.013181737431160063
Brownsville,Brooklyn,100,47,0.47,0.0019723865877712033,0.0009270216962524655
Woodhaven-Richmond Hill,Queens,96,30,0.3125,0.002179242713157178,0.000681013347861618
Bay Ridge,Brooklyn,131,71,0.5419847328244275,0.003551675523262119,0.0019249539095542783
Bayside,Queens,0,0,,,
Maspeth,Queens,50,24,0.48,0.003619778469557663,0.0017374936653876782
Hamilton Heights,Manhattan,852,469,0.5504694835680751,0.03146814404432133,0.01732225300092336
Chelsea,Manhattan,1046,842,0.8049713193116634,0.023315946680932637,0.018768668360750747
Woodside,Queens,136,74,0.5441176470588235,0.0066634002939735424,0.003625673689367957
Sunny Side,Queens,950,545,0.5736842105263158,0.027375154885744747,0.015704694118664094
Greenwich Village,Manhattan,797,621,0.7791718946047679,0.024557835705922227,0.01913477537437604
Coney Island,Brooklyn,10,5,0.5,0.0006136098668466589,0.00030680493342332945
Morningside Heights,Manhattan,389,219,0.5629820051413882,0.022083451603746806,0.012432585864320181
Parkchester,Bronx,37,11,0.2972972972972973,0.0010712838033470381,0.00031848977937344375
Dyker Heights,Brooklyn,28,16,0.5714285714285714,0.0019189911589335893,0.0010965663765334795
Wakefield-Williamsbridge,Bronx,45,13,0.28888888888888886,0.0012256570883834945,0.0003540787144218984
Morris Park,Bronx,15,6,0.4,0.0008997120921305183,0.0003598848368522073
Saintalbans,Queens,50,16,0.32,0.00228310502283105,0.0007305936073059361
Throggs Neck,Bronx,8,2,0.25,0.0003885003885003885,9.712509712509713e-05
Whitestone,Queens,0,0,,0.0,0.0
Fort Green,Brooklyn,2555,1531,0.5992172211350294,0.03976344253365497,0.02382693953777916
Greenwood,Brooklyn,125,59,0.472,0.01918649270913277,0.009056024558710667
Kings Bridge,Bronx,26,9,0.34615384615384615,0.0017970693945258502,0.0006220624827204866
Glendale,Queens,14,5,0.35714285714285715,0.0011075949367088608,0.00039556962025316455
Middle Village,Queens,49,21,0.42857142857142855,0.002529293346409952,0.0010839828627471223
Clinton,Manhattan,1012,757,0.7480237154150198,0.03528468323977546,0.026393779854258916
Financial District,Manhattan,406,288,0.7093596059113301,0.019416547106647537,0.013773314203730272
Auburndale,Queens,21,4,0.19047619047619047,0.0006343644272595457,0.0001208313194780087
Laurelton,Queens,30,6,0.2,0.0011349878934624697,0.00022699757869249396
Rosedale,Queens,0,0,,0.0,0.0
Howard Beach,Queens,0,0,,,
College Point,Queens,0,0,,0.0,0.0
Ettingville,Staten Island,6,0,0.0,0.000466164245202393,0.0
Douglastown-Little Neck,Queens,20,6,0.3,0.000657116572479958,0.00019713497174398737
Great Kills,Staten Island,2,1,0.5,0.0003130380341211457,0.00015651901706057285
West Village,Manhattan,566,469,0.8286219081272085,0.03239468864468865,0.026842948717948716
Nkew Gardens,Queens,95,52,0.5473684210526316,0.0026210511794730307,0.0014346806456062905
North Sutton Area,Manhattan,77,62,0.8051948051948052,0.002983686596659821,0.0024024489479598557
Midtown,Manhattan,1218,872,0.715927750410509,0.019903586894354112,0.01424953019037503
Port Richmond,Staten Island,5,1,0.2,0.0008278145695364238,0.00016556291390728477
Baychester,Bronx,15,5,0.3333333333333333,0.000991801110817244,0.0003306003702724147
Spuyten Duyvil,Bronx,27,8,0.2962962962962963,0.003438176493059977,0.0010187189609066599
The Rockaways,Queens,144,47,0.3263888888888889,0.003179720449577141,0.0010378254245147615
Battery Park,Manhattan,86,59,0.686046511627907,0.009749461512300193,0.006688584060764086
Ardon Heights,Staten Island,0,0,,0.0,0.0
Mariners Harbor,Staten Island,14,5,0.35714285714285715,0.0011647254575707154,0.00041597337770382697
Riverdale,Bronx,21,6,0.2857142857142857,0.0015861027190332327,0.00045317220543806646
Oakwood,Staten Island,3,0,0.0,0.0002666666666666667,0.0
Carroll Gardens,Brooklyn,359,219,0.6100278551532033,0.018879831711806468,0.011517223244806732
Boerum Hill,Brooklyn,263,162,0.6159695817490495,0.01261996161228407,0.0077735124760076775
Rosebank,Staten Island,10,1,0.1,0.055865921787709494,0.00558659217877095
Rossville,Staten Island,0,0,,0.0,0.0
Murray Hill,Manhattan,258,193,0.748062015503876,0.011995536544541566,0.008973405244560164
Tottensville,Staten Island,3,0,0.0,0.0005352363960749331,0.0
Huguenot,Staten Island,1,0,0.0,0.00025220680958385876,0.0
Downtown,Brooklyn,157,114,0.7261146496815286,0.013515840220385674,0.00981404958677686
Richmondtown,Staten Island,7,1,0.14285714285714285,0.0004980434009249378,7.114905727499111e-05
Eastchester,Bronx,9,4,0.4444444444444444,0.0026026604973973396,0.001156737998843262
Prince's Bay,Staten Island,0,0,,0.0,0.0
Midland Beach,Staten Island,5,1,0.2,0.0005719514985129262,0.00011439029970258523
Little Italy,Manhattan,387,284,0.7338501291989664,0.06742160278745644,0.049477351916376304
South Beach,Staten Island,25,7,0.28,0.002152389151958674,0.0006026689625484288
Springfield Gardens,Queens,25,8,0.32,0.001631214928879029,0.0005219887772412893
Country Club,Bronx,9,3,0.3333333333333333,0.00042796005706134097,0.0001426533523537803
Cobble Hill,Brooklyn,125,85,0.68,0.025826446280991736,0.01756198347107438
Woodlawn-Nordwood,Bronx,7,2,0.2857142857142857,0.0014053402931138326,0.0004015257980325236
Annandale,Staten Island,0,0,,0.0,0.0
Clearview,Queens,25,7,0.28,0.001697792869269949,0.00047538200339558573
New Brighton,Staten Island,74,20,0.2702702702702703,0.004119808484578554,0.0011134617525887986
Woodrow,Staten Island,0,0,,0.0,0.0
Westerleigh-Castleton,Staten Island,4,0,0.0,0.0003189792663476874,0.0
Garment District,Manhattan,169,127,0.7514792899408284,0.0324750192159877,0.024404304381245197
Todt Hill,Staten Island,6,0,0.0,0.0010068803490518544,0.0
City Island,Bronx,10,2,0.2,0.0050327126321087065,0.0010065425264217413
Utopia,Queens,45,13,0.28888888888888886,0.0015500671695773483,0.0004477971823223451
Bloomfield-Chelsea-Travis,Staten Island,0,0,,0.0,0.0
